trimestre,division,ice,type
T3/2013,6- Produits finis d'equipement agricole,96.2,import
T3/2013,7- Produits finis d'equipement industriel,104.2,import
T3/2013,8- Produits finis de consommation,99.9,import
T3/2013,DEMI  PRODUITS,84.9,import
T3/2013,ENERGIE  ET  LUBRIFIANTS,101.6,import
T3/2013,IMPORTATIONS,98.2,import
T4/2013,"1- Alimentation, boissons et tabacs",93.1,export
T4/2013,3- Produits bruts d'origine animale et vegetale,91.4,export
T4/2013,4- Produits bruts d'origine minerale,62.8,export
T4/2013,6- Produits finis d'equipement agricole,104.0,export
T4/2013,7- Produits finis d'equipement industriel,100.9,export
T4/2013,8- Produits finis de consommation,105.7,export
T4/2013,DEMI  PRODUITS,98.9,export
T4/2013,ENERGIE  ET  LUBRIFIANTS,91.3,export
T4/2013,EXPORTATIONS,90.8,export
T4/2013,"1- Alimentation, boissons et tabacs",99.1,import
T4/2013,3- Produits bruts d'origine animale et vegetale,101.8,import
T4/2013,4- Produits bruts d'origine minerale,71.1,import
T4/2013,6- Produits finis d'equipement agricole,92.6,import
T4/2013,7- Produits finis d'equipement industriel,104.5,import
T4/2013,8- Produits finis de consommation,104.1,import
T4/2013,DEMI  PRODUITS,71.3,import
T4/2013,ENERGIE  ET  LUBRIFIANTS,97.4,import
T4/2013,IMPORTATIONS,96.6,import
T1/2014,"1- Alimentation, boissons et tabacs",93.0,export
T1/2014,3- Produits bruts d'origine animale et vegetale,91.9,export
T1/2014,4- Produits bruts d'origine minerale,75.3,export
T1/2014,6- Produits finis d'equipement agricole,98.8,export
T1/2014,7- Produits finis d'equipement industriel,100.4,export
T1/2014,8- Produits finis de consommation,107.3,export
T1/2014,DEMI  PRODUITS,97.3,export
T1/2014,ENERGIE  ET  LUBRIFIANTS,86.4,export
T1/2014,EXPORTATIONS,95.1,export
T1/2014,"1- Alimentation, boissons et tabacs",100.0,import
T1/2014,3- Produits bruts d'origine animale et vegetale,104.9,import
T1/2014,4- Produits bruts d'origine minerale,77.9,import
T1/2014,6- Produits finis d'equipement agricole,83.9,import
T1/2014,7- Produits finis d'equipement industriel,104.0,import
T1/2014,8- Produits finis de consommation,106.6,import
T1/2014,DEMI  PRODUITS,80.0,import
T1/2014,ENERGIE  ET  LUBRIFIANTS,112.1,import
T1/2014,IMPORTATIONS,95.2,import
T2/2014,"1- Alimentation, boissons et tabacs",96.4,export
T2/2014,3- Produits bruts d'origine animale et vegetale,92.2,export
T2/2014,4- Produits bruts d'origine minerale,87.8,export
T2/2014,6- Produits finis d'equipement agricole,102.0,export
T2/2014,7- Produits finis d'equipement industriel,100.4,export
T2/2014,8- Produits finis de consommation,106.5,export
T2/2014,DEMI  PRODUITS,97.7,export
T2/2014,ENERGIE  ET  LUBRIFIANTS,85.9,export
T2/2014,EXPORTATIONS,95.1,export
T2/2014,"1- Alimentation, boissons et tabacs",99.2,import
T2/2014,3- Produits bruts d'origine animale et vegetale,102.1,import
T2/2014,4- Produits bruts d'origine minerale,79.8,import
T2/2014,6- Produits finis d'equipement agricole,90.5,import
T2/2014,7- Produits finis d'equipement industriel,102.0,import
T2/2014,8- Produits finis de consommation,107.9,import
T2/2014,DEMI  PRODUITS,81.5,import
T2/2014,ENERGIE  ET  LUBRIFIANTS,104.3,import
T2/2014,IMPORTATIONS,95.8,import
T3/2014,"1- Alimentation, boissons et tabacs",93.2,export
T3/2014,3- Produits bruts d'origine animale et vegetale,92.6,export
T3/2014,4- Produits bruts d'origine minerale,87.9,export
T3/2014,6- Produits finis d'equipement agricole,99.7,export
T3/2014,7- Produits finis d'equipement industriel,103.2,export
T3/2014,8- Produits finis de consommation,107.1,export
T3/2014,DEMI  PRODUITS,96.9,export
T3/2014,ENERGIE  ET  LUBRIFIANTS,74.3,export
T3/2014,EXPORTATIONS,96.0,export
T3/2014,"1- Alimentation, boissons et tabacs",102.6,import
T3/2014,3- Produits bruts d'origine animale et vegetale,103.8,import
T3/2014,4- Produits bruts d'origine minerale,75.4,import
T3/2014,6- Produits finis d'equipement agricole,83.1,import
T3/2014,7- Produits finis d'equipement industriel,99.9,import
T3/2014,8- Produits finis de consommation,105.5,import
T3/2014,DEMI  PRODUITS,87.0,import
T3/2014,ENERGIE  ET  LUBRIFIANTS,104.2,import
T3/2014,IMPORTATIONS,91.9,import
T4/2014,"1- Alimentation, boissons et tabacs",92.2,export
T4/2014,3- Produits bruts d'origine animale et vegetale,90.9,export
T4/2014,4- Produits bruts d'origine minerale,90.2,export
T4/2014,6- Produits finis d'equipement agricole,99.8,export
T4/2014,7- Produits finis d'equipement industriel,102.8,export
T4/2014,8- Produits finis de consommation,106.9,export
T4/2014,DEMI  PRODUITS,97.7,export
T4/2014,ENERGIE  ET  LUBRIFIANTS,61.0,export
T4/2014,EXPORTATIONS,96.6,export
T4/2014,"1- Alimentation, boissons et tabacs",104.2,import
T4/2014,3- Produits bruts d'origine animale et vegetale,106.3,import
T4/2014,4- Produits bruts d'origine minerale,81.5,import
T4/2014,6- Produits finis d'equipement agricole,78.6,import
T4/2014,7- Produits finis d'equipement industriel,99.5,import
T4/2014,8- Produits finis de consommation,103.7,import
T4/2014,DEMI  PRODUITS,90.3,import
T4/2014,ENERGIE  ET  LUBRIFIANTS,90.5,import
T4/2014,IMPORTATIONS,88.1,import
T1/2015,"1- Alimentation, boissons et tabacs",95.5,export
T1/2015,3- Produits bruts d'origine animale et vegetale,90.0,export
T1/2015,4- Produits bruts d'origine minerale,91.4,export
T1/2015,6- Produits finis d'equipement agricole,97.2,export
T1/2015,7- Produits finis d'equipement industriel,101.4,export
T1/2015,8- Produits finis de consommation,108.0,export
T1/2015,DEMI  PRODUITS,96.3,export
T1/2015,ENERGIE  ET  LUBRIFIANTS,55.5,export
T1/2015,EXPORTATIONS,97.6,export
T1/2015,"1- Alimentation, boissons et tabacs",105.7,import
T1/2015,3- Produits bruts d'origine animale et vegetale,109.1,import
T1/2015,4- Produits bruts d'origine minerale,91.9,import
T1/2015,6- Produits finis d'equipement agricole,85.5,import
T1/2015,7- Produits finis d'equipement industriel,94.4,import
T1/2015,8- Produits finis de consommation,102.0,import
T1/2015,DEMI  PRODUITS,96.4,import
T1/2015,ENERGIE  ET  LUBRIFIANTS,60.4,import
T1/2015,IMPORTATIONS,86.9,import
T2/2015,"1- Alimentation, boissons et tabacs",94.6,export
T2/2015,3- Produits bruts d'origine animale et vegetale,91.3,export
T2/2015,4- Produits bruts d'origine minerale,117.0,export
T2/2015,6- Produits finis d'equipement agricole,101.6,export
T2/2015,7- Produits finis d'equipement industriel,103.2,export
T2/2015,8- Produits finis de consommation,108.3,export
T2/2015,DEMI  PRODUITS,97.2,export
T2/2015,ENERGIE  ET  LUBRIFIANTS,59.4,export
T2/2015,EXPORTATIONS,100.0,export
T2/2015,"1- Alimentation, boissons et tabacs",105.4,import
T2/2015,3- Produits bruts d'origine animale et vegetale,109.1,import
T2/2015,4- Produits bruts d'origine minerale,95.1,import
T2/2015,6- Produits finis d'equipement agricole,85.1,import
T2/2015,7- Produits finis d'equipement industriel,101.6,import
T2/2015,8- Produits finis de consommation,103.2,import
T2/2015,DEMI  PRODUITS,97.0,import
